Sample ID,Treatment,Fertilization,Mowing,Replicate Block,Ditch,Subsample (r#),Aboveground Dry weight (g),Below Ground Biomass,MBC_FUM_TOC,TOC_ADJ,MBC_UNFUM_TOC,TOC_ADJ,MBN_FUM_TKN,TKN_ADJ,MBN_UNFUM_TKN,TKN_ADJ
WRC20_305_M_1_R1,M,0,1,1,1,1,81.7,7.84,198.3,167,21.6,15.1,10,10,5.3,2.8
WRC20_306_M_1_R2,M,0,1,1,1,2,231.71,20.54,236.9,205.6,24.5,18,9.9,9.9,7,4.5
WRC20_307_M_1_R3,M,0,1,1,1,3,129.35,12.72,303.7,272.4,21.3,14.8,14,14,8.6,6.1
WRC20_308_MF_1_R1,MF,1,1,1,1,1,306.12,11.47,235.1,203.8,21.2,14.7,11.3,11.3,6.5,4
WRC20_309_MF_1_R2,MF,1,1,1,1,2,94.63,8.81,225.1,193.8,33.5,27,10.2,10.2,6.7,4.2
WRC20_310_MF_1_R3,MF,1,1,1,1,3,157.11,12.53,215.1,183.8,31.4,24.9,11.1,11.1,5.8,3.3
WRC20_311_M_2_R1,M,0,1,2,0,1,74.92,14.29,222.7,191.4,13.8,7.3,7,7,5.1,2.6
WRC20_312_M_2_R2,M,0,1,2,0,2,124.7,9.62,202.3,171,17.6,11.1,6.9,6.9,5,2.5
WRC20_313_M_2_R3,M,0,1,2,0,3,71.7,6.54,199.3,168,12.8,6.3,8.3,8.3,4.4,1.9
WRC20_314_MF_2_R1,MF,1,1,2,0,1,194.9,20.13,223.6,192.3,16.7,10.2,10.6,10.6,5.1,2.6
WRC20_315_MF_2_R2,MF,1,1,2,0,2,118.55,15.02,185.8,154.5,19.6,13.1,8.2,8.2,4.7,2.2
WRC20_316_MF_2_R3,MF,1,1,2,0,3,175.02,28.17,221.1,189.8,22.5,16,8.7,8.7,6.4,3.9
WRC20_317_M_3_R1,M,0,1,3,1,1,142.67,11.85,219.7,188.4,27.4,20.9,7.5,7.5,5.1,2.6
WRC20_318_M_3_R2,M,0,1,3,1,2,113.9,21.62,236.7,205.4,23.2,16.7,12.1,12.1,7.8,5.3
WRC20_319_M_3_R3,M,0,1,3,1,3,127.42,6.29,219.1,187.8,21.3,14.8,8.1,8.1,5.1,2.6
WRC20_320_MF_3_R1,MF,1,1,3,1,1,170.92,15.08,220.6,189.3,20.9,14.4,11.4,11.4,7.5,5
WRC20_321_MF_3_R2,MF,1,1,3,1,2,43.62,14.06,201.2,169.9,17.3,10.8,8.6,8.6,6.4,3.9
WRC20_322_MF_3_R3,MF,1,1,3,1,3,162.12,16.01,234.5,203.2,29.6,23.1,10.2,10.2,6.6,4.1
WRC20_323_M_4_R1,M,0,1,4,0,1,157.12,10.99,217.4,186.1,23.1,16.6,9.2,9.2,5.7,3.2
WRC20_324_M_4_R2,M,0,1,4,0,2,161.26,32.91,227.1,195.8,26.7,20.2,9.4,9.4,6,3.5
WRC20_325_M_4_R3,M,0,1,4,0,3,111.06,22.6,254,222.7,24.8,18.3,13.6,13.6,5.6,3.1
WRC20_326_MF_4_R1,MF,1,1,4,0,1,155.44,40.47,192,160.7,12.4,5.9,9.1,9.1,4.2,1.7
WRC20_327_MF_4_R2,MF,1,1,4,0,2,230.29,10.71,197.3,166,8.7,2.2,8.2,8.2,5.2,2.7
WRC20_328_MF_4_R3,MF,1,1,4,0,3,212.61,7.1,215.1,183.8,12.1,5.6,11.4,11.4,8.7,6.2
WRC20_329_M_5_R1,M,0,1,5,1,1,111.38,4.08,229.1,197.8,16.7,10.2,13.1,13.1,7.4,4.9
WRC20_330_M_5_R2,M,0,1,5,1,2,140.14,6.61,174.6,143.3,11.1,4.6,7.5,7.5,6.9,4.4
WRC20_331_M_5_R3,M,0,1,5,1,3,111.05,28.71,228.7,197.4,23.7,17.2,12.3,12.3,6.8,4.3
WRC20_332_MF_5_R1,MF,1,1,5,1,1,123.18,13.03,202.6,171.3,17.7,11.2,11.2,11.2,6.1,3.6
WRC20_333_MF_5_R2,MF,1,1,5,1,2,113.93,2.05,200.5,169.2,16.8,10.3,11.4,11.4,6.6,4.1
WRC20_334_MF_5_R3,MF,1,1,5,1,3,79.33,12.16,207,175.7,21.9,15.4,12.3,12.3,6.6,4.1
WRC20_335_M_6_R1,M,0,1,6,0,1,76.52,10.67,198.1,166.8,13.7,7.2,11.3,11.3,5.7,3.2
WRC20_336_M_6_R2,M,0,1,6,0,2,135.37,16.58,199.2,167.9,22.5,16,9.2,9.2,5.6,3.1
WRC20_337_M_6_R3,M,0,1,6,0,3,110.28,5.91,168.5,137.2,18.1,11.6,6.6,6.6,5.7,3.2
WRC20_338_MF_6_R1,MF,1,1,6,0,1,274.8,10.65,161.9,130.6,15.9,9.4,9,9,5.8,3.3
WRC20_339_MF_6_R2,MF,1,1,6,0,2,131.69,25.74,175,143.7,21.2,14.7,10.2,10.2,5.4,2.9
WRC20_340_MF_6_R3,MF,1,1,6,0,3,140.51,37.66,161.4,130.1,12.6,6.1,10.6,10.6,4.8,2.3
WRC20_341_M_7_R1,M,0,1,7,1,1,110.85,3.14,169.5,138.2,17.4,10.9,11.1,11.1,7.8,5.3
WRC20_342_M_7_R2,M,0,1,7,1,2,92.98,18.84,155.2,123.9,20.8,14.3,11.1,11.1,6.2,3.7
WRC20_343_M_7_R3,M,0,1,7,1,3,210.15,8.57,175,143.7,20.1,13.6,10.3,10.3,6.3,3.8
WRC20_344_MF_7_R1,MF,1,1,7,1,1,114.02,7.38,188.2,156.9,18.3,11.8,11.6,11.6,5.9,3.4
WRC20_345_MF_7_R2,MF,1,1,7,1,2,116.15,8.06,134.3,103,16.8,10.3,9.2,9.2,6.3,3.8
WRC20_346_MF_7_R3,MF,1,1,7,1,3,124.95,31.7,121.5,90.2,9.5,3,8.7,8.7,5.2,2.7
WRC20_347_M_8_R1,M,0,1,8,0,1,95.31,19.2,152,120.7,6.5,0,10.4,10.4,6.1,3.6
WRC20_348_M_8_R2,M,0,1,8,0,2,127.72,12.92,142.2,110.9,12.4,5.9,10.8,10.8,6.7,4.2
WRC20_349_M_8_R3,M,0,1,8,0,3,138.93,8.19,139.4,108.1,11.9,5.4,10.1,10.1,5.5,3
WRC20_350_MF_8_R1,MF,1,1,8,0,1,282.51,19.69,163.1,131.8,9.6,3.1,9.3,9.3,4.8,2.3
WRC20_351_MF_8_R2,MF,1,1,8,0,2,361.14,5.75,131.2,99.9,13,6.5,8.2,8.2,4.8,2.3
WRC20_352_MF_8_R3,MF,1,1,8,0,3,362.61,35.19,180.6,149.3,24.6,18.1,12.7,12.7,5.1,2.6
